metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
rmse,4.078050169336393,2.8852820892602926,5.259613636383058,3000,179,RF,segmento_tramo_real,urgente,3-6
medae,1.4106242144030894,1.2975161413073142,1.7765759187478964,3000,179,RF,segmento_tramo_real,urgente,3-6
me_sesgo_pred_menos_real,0.7961757469358297,0.24293938275544547,1.399088689279118,3000,179,RF,segmento_tramo_real,urgente,3-6
pup_subestimacion,0.5251396648044693,0.45251396648044695,0.5977653631284916,3000,179,RF,segmento_tramo_real,urgente,3-6
mae_asimetrico_alpha_2,3.199427772251576,2.736915127589418,3.737325092383374,3000,179,RF,segmento_tramo_real,urgente,3-6
pct_error_abs_le_1d,0.329608938547486,0.26256983240223464,0.39664804469273746,3000,179,RF,segmento_tramo_real,urgente,3-6
pct_error_abs_le_3d,0.7821229050279329,0.7206703910614525,0.8379888268156425,3000,179,RF,segmento_tramo_real,urgente,3-6
pct_error_abs_le_7d,0.9385474860335196,0.9050279329608939,0.9720670391061452,3000,179,RF,segmento_tramo_real,urgente,3-6
precision_plos_14,0.0,0.0,0.0,3000,179,RF,segmento_tramo_real,urgente,3-6
recall_plos_14,,,,3000,179,RF,segmento_tramo_real,urgente,3-6
f1_plos_14,,,,3000,179,RF,segmento_tramo_real,urgente,3-6
accuracy_plos_14,0.9720670391061452,0.9441340782122905,0.994413407821229,3000,179,RF,segmento_tramo_real,urgente,3-6
n_plos_real_14,0.0,,,3000,179,RF,segmento_tramo_real,urgente,3-6
n_plos_pred_14,5.0,,,3000,179,RF,segmento_tramo_real,urgente,3-6
