scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
pred_tramo,LR,segmento_tramo_real,programado,7-13,110,0.9181818181818182,22.698047300018903,13.116067094660552,1.1052857062496628,23.803333006268563
pred_tramo,LR,segmento_tramo_real,urgente,0-2,200,0.735,9.8174861030087,3.753719193951512,0.6565187630254777,10.474004866034177
pred_tramo,LR,segmento_tramo_real,urgente,14+ (PLOS),180,0.6777777777777778,48.61124284388464,36.18940075729873,36.2032848011615,84.81452764504616
pred_tramo,LR,segmento_tramo_real,urgente,3-6,179,0.9106145251396648,16.368389185646556,13.11606709466055,1.1322022695010854,17.500591455147635
pred_tramo,LR,segmento_tramo_real,urgente,7-13,139,0.920863309352518,24.95295905588631,32.9790800152026,1.1988352492076737,26.151794305093986
pred_tramo,RF,segmento_tramo_real,programado,0-2,983,0.9460834181078331,4.738920636927971,3.1675309973947936,0.45189958566232785,5.1908202225902995
pred_tramo,RF,segmento_tramo_real,programado,14+ (PLOS),99,0.7676767676767676,40.91387450742669,53.079188522480436,6.061723533017878,46.97559804044459
pred_tramo,RF,segmento_tramo_real,programado,3-6,501,0.9461077844311377,9.73119017027107,9.669040209015249,0.7827870422077834,10.513977212478855
pred_tramo,RF,segmento_tramo_real,programado,7-13,110,0.8363636363636363,18.22025419574995,9.66904020901525,1.4394511211461514,19.659705316896098
pred_tramo,RF,segmento_tramo_real,urgente,0-2,200,0.725,8.808402849827772,9.407628027860794,0.7219825652632922,9.530385415091065
pred_tramo,RF,segmento_tramo_real,urgente,14+ (PLOS),180,0.8055555555555556,39.323452365520176,50.94061524747062,6.717760285440208,46.04121265096039
pred_tramo,RF,segmento_tramo_real,urgente,3-6,179,0.88268156424581,13.958926462595826,9.669040209015249,1.3336428679416723,15.292569330537498
pred_tramo,RF,segmento_tramo_real,urgente,7-13,139,0.9136690647482014,22.50297336819141,27.13580142958878,2.1124165917986852,24.615389959990097
pred_tramo,XGB,segmento_tramo_real,programado,0-2,983,0.9511698880976602,4.5406904762319416,3.04995561,0.49316610118006105,5.033856577412004
