metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
precision_plos_14,0.0,0.0,0.0,3000,680,XGB,tramo_real,todos,3-6
recall_plos_14,,,,3000,680,XGB,tramo_real,todos,3-6
f1_plos_14,,,,3000,680,XGB,tramo_real,todos,3-6
accuracy_plos_14,0.9823529411764705,0.9720588235294118,0.9911764705882353,3000,680,XGB,tramo_real,todos,3-6
n_plos_real_14,0.0,,,3000,680,XGB,tramo_real,todos,3-6
n_plos_pred_14,12.0,,,3000,680,XGB,tramo_real,todos,3-6
tn_plos_14,668.0,,,3000,680,XGB,tramo_real,todos,3-6
fp_plos_14,12.0,,,3000,680,XGB,tramo_real,todos,3-6
fn_plos_14,0.0,,,3000,680,XGB,tramo_real,todos,3-6
tp_plos_14,0.0,,,3000,680,XGB,tramo_real,todos,3-6
mae,4.099605031325302,3.7538105348493978,4.427279161004015,3000,249,XGB,tramo_real,todos,7-13
rmse,4.923635705610073,4.499378893616372,5.324111197464546,3000,249,XGB,tramo_real,todos,7-13
medae,3.603194,3.252484,3.9874873,3000,249,XGB,tramo_real,todos,7-13
me_sesgo_pred_menos_real,-1.7625647879518072,-2.3382575644779116,-1.1942050145983933,3000,249,XGB,tramo_real,todos,7-13
pup_subestimacion,0.7188755020080321,0.6626506024096386,0.7751004016064257,3000,249,XGB,tramo_real,todos,7-13
mae_asimetrico_alpha_2,7.030689940963856,6.460239642540161,7.588231684487952,3000,249,XGB,tramo_real,todos,7-13
pct_error_abs_le_1d,0.10040160642570281,0.0642570281124498,0.14056224899598393,3000,249,XGB,tramo_real,todos,7-13
pct_error_abs_le_3d,0.40160642570281124,0.3413654618473896,0.46586345381526106,3000,249,XGB,tramo_real,todos,7-13
pct_error_abs_le_7d,0.8755020080321285,0.8353413654618473,0.9156626506024096,3000,249,XGB,tramo_real,todos,7-13
precision_plos_14,0.0,0.0,0.0,3000,249,XGB,tramo_real,todos,7-13
recall_plos_14,,,,3000,249,XGB,tramo_real,todos,7-13
f1_plos_14,,,,3000,249,XGB,tramo_real,todos,7-13
accuracy_plos_14,0.8995983935742972,0.8634538152610441,0.9357429718875502,3000,249,XGB,tramo_real,todos,7-13
n_plos_real_14,0.0,,,3000,249,XGB,tramo_real,todos,7-13
n_plos_pred_14,25.0,,,3000,249,XGB,tramo_real,todos,7-13
tn_plos_14,224.0,,,3000,249,XGB,tramo_real,todos,7-13
fp_plos_14,25.0,,,3000,249,XGB,tramo_real,todos,7-13
fn_plos_14,0.0,,,3000,249,XGB,tramo_real,todos,7-13
tp_plos_14,0.0,,,3000,249,XGB,tramo_real,todos,7-13
mae,13.668216191039425,12.070934781962364,15.368918660367386,3000,279,XGB,tramo_real,todos,14+ (PLOS)
rmse,19.76241210739525,16.455903433227483,23.04820788967342,3000,279,XGB,tramo_real,todos,14+ (PLOS)
