p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
047N3ZZ;047;0;047;categoria_3_char;2;164;9118
047U3ZZ;047;0;047;categoria_3_char;1;164;9118
0BB38ZX;0BB;0;0BB;categoria_3_char;5;91;9118
2W3BXYZ;2W3;2;2W3;categoria_3_char;1;26;53
07BH0ZX;07B;0;07B;categoria_3_char;4;172;9118
0D1B0ZH;0D1;0;0D1;categoria_3_char;1;166;9118
0DBH0ZX;0DB;0;0DB;categoria_3_char;1;882;9118
0HBGXZZ;0HB;0;0HB;categoria_3_char;4;206;9118
0KX10Z2;0KX;0;rare_sec_0;seccion_rare;1;9;9118
0UBM0ZZ;0UB;0;0UB;categoria_3_char;4;58;9118
0LM30ZZ;0LM;0;rare_sec_0;seccion_rare;3;19;9118
0TF78ZZ;0TF;0;rare_sec_0;seccion_rare;5;19;9118
0DT70ZZ;0DT;0;0DT;categoria_3_char;1;221;9118
B24BZZZ;B24;B;B24;categoria_3_char;2;347;1410
4A1B7GZ;4A1;4;4A1;categoria_3_char;3;1367;2157
0FBG4ZX;0FB;0;0FB;categoria_3_char;2;89;9118
0DQ64ZZ;0DQ;0;0DQ;categoria_3_char;1;49;9118
6A600ZZ;6A6;6;6A600ZZ;codigo_completo;16;32;72
0LN80ZZ;0LN;0;rare_sec_0;seccion_rare;1;5;9118
0BPQ30Z;0BP;0;rare_sec_0;seccion_rare;1;8;9118
0F150ZB;0F1;0;rare_sec_0;seccion_rare;1;1;9118
01B90ZZ;01B;0;rare_sec_0;seccion_rare;1;5;9118
04BE0ZZ;04B;0;rare_sec_0;seccion_rare;1;1;9118
061C0JY;061;0;rare_sec_0;seccion_rare;1;3;9118
06BF0ZZ;06B;0;06B;categoria_3_char;1;93;9118
06BH0ZZ;06B;0;06B;categoria_3_char;1;93;9118
0DB68Z3;0DB;0;0DB;categoria_3_char;1;882;9118
F08L5ZZ;F08;F;rare_sec_F;seccion_rare;1;2;113
0RSG04Z;0RS;0;rare_sec_0;seccion_rare;1;15;9118
0QBB3ZZ;0QB;0;0QB;categoria_3_char;1;187;9118
0USG4ZZ;0US;0;rare_sec_0;seccion_rare;2;5;9118
0CQWXZ0;0CQ;0;rare_sec_0;seccion_rare;1;5;9118
0CQXXZ0;0CQ;0;rare_sec_0;seccion_rare;1;5;9118
3E033NZ;3E0;3;3E0;categoria_3_char;5;1527;2182
0UT1FZZ;0UT;0;0UT;categoria_3_char;2;195;9118
0UT6FZZ;0UT;0;0UT;categoria_3_char;1;195;9118
047D34Z;047;0;047;categoria_3_char;2;164;9118
0J990ZZ;0J9;0;0J9;categoria_3_char;2;38;9118
047K3F6;047;0;047;categoria_3_char;1;164;9118
047L3EZ;047;0;047;categoria_3_char;2;164;9118
0KBV0ZZ;0KB;0;rare_sec_0;seccion_rare;1;11;9118
0Y6H0Z2;0Y6;0;0Y6;categoria_3_char;3;66;9118
0J9B0ZZ;0J9;0;0J9;categoria_3_char;2;38;9118
0PSF36Z;0PS;0;0PS;categoria_3_char;4;181;9118
0QPG05Z;0QP;0;0QP;categoria_3_char;2;78;9118
0QSG05Z;0QS;0;0QS;categoria_3_char;5;304;9118
3E0G73Z;3E0;3;3E0;categoria_3_char;1;1527;2182
0VB70ZZ;0VB;0;0VB;categoria_3_char;2;93;9118
0JC80ZZ;0JC;0;rare_sec_0;seccion_rare;2;8;9118
0HRDX74;0HR;0;0HR;categoria_3_char;6;92;9118
0HRFX74;0HR;0;0HR;categoria_3_char;4;92;9118
0JBG0ZZ;0JB;0;0JB;categoria_3_char;1;103;9118
0JBJ0ZZ;0JB;0;0JB;categoria_3_char;4;103;9118
0QBG3ZX;0QB;0;0QB;categoria_3_char;1;187;9118
0DBC8ZZ;0DB;0;0DB;categoria_3_char;1;882;9118
03773ZZ;037;0;rare_sec_0;seccion_rare;1;9;9118
057D3ZZ;057;0;rare_sec_0;seccion_rare;2;3;9118
0L814ZZ;0L8;0;rare_sec_0;seccion_rare;2;9;9118
0PB94ZZ;0PB;0;0PB;categoria_3_char;1;23;9118
0RQG4ZZ;0RQ;0;rare_sec_0;seccion_rare;2;9;9118
F07G3ZZ;F07;F;F07;categoria_3_char;2;112;113
0DV64DZ;0DV;0;0DV;categoria_3_char;1;39;9118
0CTW0Z0;0CT;0;0CT;categoria_3_char;2;44;9118
09BP4ZZ;09B;0;09B;categoria_3_char;1;63;9118
09BS4ZZ;09B;0;09B;categoria_3_char;1;63;9118
09BT4ZZ;09B;0;09B;categoria_3_char;1;63;9118
09BW4ZZ;09B;0;09B;categoria_3_char;1;63;9118
09BX4ZZ;09B;0;09B;categoria_3_char;1;63;9118
CP2YYZZ;CP2;C;rare_sec_C;seccion_rare;1;2;34
089D3ZZ;089;0;rare_sec_0;seccion_rare;1;5;9118
0H9AXZX;0H9;0;0H9;categoria_3_char;1;28;9118
03C83ZZ;03C;0;03C;categoria_3_char;1;48;9118
03CA3ZZ;03C;0;03C;categoria_3_char;1;48;9118
03CC3ZZ;03C;0;03C;categoria_3_char;1;48;9118
0SPB08Z;0SP;0;0SP;categoria_3_char;1;39;9118
0SRB0JZ;0SR;0;0SR;categoria_3_char;2;525;9118
0DHA0UZ;0DH;0;0DH;categoria_3_char;2;271;9118
0DQA0ZZ;0DQ;0;0DQ;categoria_3_char;1;49;9118
0F9000Z;0F9;0;0F9;categoria_3_char;1;46;9118
