segmento,precision,recall,thresholds
global,0.13241575700047462,1.0,0.0025898053
global,0.13247863247863248,1.0,0.0025949036
global,0.13254156769596198,1.0,0.0026148579
global,0.1326045627376426,1.0,0.0026201347
global,0.1326676176890157,1.0,0.0026261865
global,0.13273073263558516,1.0,0.0026303038
global,0.1327939076630176,1.0,0.0026373172
global,0.13285714285714287,1.0,0.0026452243
global,0.13292043830395425,1.0,0.0026503291
global,0.13317422434367543,1.0,0.0026531264
global,0.1332378223495702,1.0,0.0026534304
global,0.13432835820895522,1.0,0.002659841
global,0.13439306358381503,1.0,0.0026636675
global,0.1344578313253012,1.0,0.0026678476
global,0.13452266152362585,1.0,0.0026695582
global,0.1345875542691751,1.0,0.0026700317
global,0.13471752776436505,1.0,0.002688296
global,0.1349129593810445,1.0,0.0026904985
global,0.1351089588377724,1.0,0.0027045875
global,0.13517441860465115,1.0,0.002705605
global,0.13523994183228308,1.0,0.0027087347
global,0.13530552861299708,1.0,0.0027181467
global,0.13537117903930132,1.0,0.002741046
global,0.1354368932038835,1.0,0.0027588801
global,0.13550267119961146,1.0,0.0027685699
global,0.13556851311953352,1.0,0.0027701342
global,0.13583252190847128,1.0,0.0027781401
global,0.1358986848514369,1.0,0.0028117932
global,0.13596491228070176,1.0,0.0028140268
global,0.13603120429058996,1.0,0.002835892
global,0.13609756097560977,1.0,0.0028362575
global,0.13616398243045388,1.0,0.0028384377
global,0.13623046875,1.0,0.0028544962
global,0.13629702002931118,1.0,0.0028707664
global,0.13636363636363635,1.0,0.0028748263
global,0.13643031784841075,1.0,0.0028853293
global,0.13649706457925637,1.0,0.0028942297
global,0.13676470588235295,1.0,0.0029186253
global,0.13750616067028093,1.0,0.0029209226
global,0.13757396449704143,1.0,0.0029338147
global,0.13764183522446966,1.0,0.002935944
global,0.1377097729516288,1.0,0.002939022
global,0.13777777777777778,1.0,0.0029431877
global,0.13818722139673106,1.0,0.0029518649
global,0.13825569871159563,1.0,0.002953163
global,0.1383242439266237,1.0,0.0029545804
global,0.13839285714285715,1.0,0.0029550074
global,0.13846153846153847,1.0,0.002955513
global,0.1385302879841112,1.0,0.002966399
global,0.13859910581222057,1.0,0.0029779929
global,0.1386679920477137,1.0,0.0029911106
global,0.13873694679264048,1.0,0.00300093
global,0.13880597014925372,1.0,0.0030022257
global,0.13887506222000995,1.0,0.0030031365
global,0.1389442231075697,1.0,0.0030154039
global,0.13901345291479822,1.0,0.0030222468
global,0.1390827517447657,1.0,0.0030225597
global,0.13915211970074812,1.0,0.0030268147
global,0.13922155688622753,1.0,0.003047586
global,0.13929106340489267,1.0,0.0030888007
global,0.13936063936063936,1.0,0.0030898214
global,0.1395,1.0,0.00309112
global,0.13956978489244623,1.0,0.0031036513
global,0.13963963963963963,1.0,0.003121851
global,0.1397095643465198,1.0,0.0031239826
global,0.13977955911823647,1.0,0.0031283621
global,0.13984962406015036,1.0,0.0031399347
global,0.1399197592778335,1.0,0.003155404
global,0.13998996487706974,1.0,0.0031771786
global,0.14006024096385541,1.0,0.0031883218
global,0.1401305876443998,1.0,0.0031894874
global,0.14020100502512564,1.0,0.0031924483
global,0.14055415617128464,1.0,0.0031991333
global,0.14069591527987896,1.0,0.0032079571
global,0.1408379606259465,1.0,0.0032084086
global,0.1409090909090909,1.0,0.0032128769
global,0.14098029307731177,1.0,0.0032219635
global,0.14119433198380565,1.0,0.003225802
global,0.14126582278481012,1.0,0.0032272206
global,0.1413373860182371,1.0,0.0032304372
global,0.141409021794222,1.0,0.0032445756
global,0.14148073022312374,1.0,0.0032541242
global,0.1416243654822335,1.0,0.0032677383
global,0.14169629253428137,1.0,0.0032707574
